DATE	COMPANY	TWEET COUNT
2016-09-19	Intel	2522
2016-09-20	Intel	2804
2016-09-21	Intel	2558
2016-09-22	Intel	2174
2016-09-23	Intel	2422
2016-09-24	Intel	2557
2016-09-25	Intel	2454
2016-09-26	Intel	2575
2016-09-27	Intel	2790
2016-09-28	Intel	2648
2016-09-29	Intel	2540
2016-09-30	Intel	2499
2016-10-01	Intel	2534
2016-10-02	Intel	2587
2016-10-03	Intel	2642
2016-10-04	Intel	2341
2016-10-05	Intel	2421
2016-10-06	Intel	2493
2016-10-07	Intel	2664
2016-10-08	Intel	3141
2016-10-09	Intel	3041
2016-10-10	Intel	2731
2016-10-11	Intel	2831
2016-10-12	Intel	2772
2016-10-13	Intel	2877
2016-10-14	Intel	2820
2016-10-15	Intel	3035
2016-10-16	Intel	2478
2016-10-17	Intel	2722
2016-10-18	Intel	3098
2016-10-19	Intel	3430
2016-10-20	Intel	2469
2016-10-21	Intel	2113
2016-10-22	Intel	2342
2016-10-23	Intel	2355
2016-10-24	Intel	2328
2016-10-25	Intel	2691
2016-10-26	Intel	374
2016-10-27	Intel	203
2016-10-28	Intel	107
2016-10-29	Intel	80
2016-10-30	Intel	94
2016-10-31	Intel	185
2016-11-01	Intel	112
2016-11-02	Intel	128
2016-11-03	Intel	139
2016-11-04	Intel	207
2016-11-05	Intel	90
2016-11-06	Intel	91
2016-11-07	Intel	201
2016-11-08	Intel	81
2016-11-09	Intel	77
2016-11-17	Intel	285
2016-11-18	Intel	392
2016-11-19	Intel	205
2016-11-20	Intel	201
2016-11-21	Intel	295
2016-11-22	Intel	231
2016-11-23	Intel	158
2016-11-24	Intel	100
2016-11-25	Intel	113
2016-11-26	Intel	73
2016-11-27	Intel	128
2016-11-28	Intel	129
2016-11-29	Intel	219
